model,MAE,MSE,RMSE,R2
LinearRegression,797.9512827574243,999414.7300829579,999.7073222113349,0.964671394795581
RandomForest,813.5075240583675,1040122.8835863529,1019.8641495740268,0.9632323903058203
GradientBoosting,801.1331413030815,1007155.019753699,1003.5711333800405,0.9643977810197236
XGBoost,803.8340724426092,1015469.0671877216,1007.7048512276408,0.9641038853119597
