model,MAE,MSE,RMSE,R2
LinearRegression,67.33041512330013,7100.132638550034,84.26228479307949,0.874700895431926
RandomForest,65.86163731783743,6802.402667276393,82.47667953595364,0.8799550647133725
GradientBoosting,64.56405061923284,6543.7338783284395,80.89334878918315,0.8845199044543812
XGBoost,64.6618209780054,6547.326635706562,80.91555249583705,0.8844565015145595
