model,MAE,MSE,RMSE,R2
LinearRegression,158.59110528721382,39548.776629474494,198.86874221323595,0.8769909188050584
RandomForest,156.1895203954177,38125.98552121461,195.2587655425861,0.881416244741157
GradientBoosting,146.45970872185248,33601.84376186584,183.30805700204735,0.8954877424824653
XGBoost,146.10613902610595,33573.907484387695,183.2318408039053,0.8955746330544997
